timestep,reward,epsilon
1.675000000000000000e+04,3.260000000000000000e+02,nan
1.686700000000000000e+04,1.170000000000000000e+02,nan
1.701100000000000000e+04,1.440000000000000000e+02,nan
1.715900000000000000e+04,1.480000000000000000e+02,nan
1.745800000000000000e+04,2.990000000000000000e+02,nan
1.759300000000000000e+04,1.350000000000000000e+02,nan
1.777200000000000000e+04,1.790000000000000000e+02,nan
1.812800000000000000e+04,3.560000000000000000e+02,nan
1.838200000000000000e+04,2.540000000000000000e+02,nan
1.850100000000000000e+04,1.190000000000000000e+02,nan
1.900100000000000000e+04,5.000000000000000000e+02,nan
1.924300000000000000e+04,2.420000000000000000e+02,nan
1.950600000000000000e+04,2.630000000000000000e+02,nan
1.965100000000000000e+04,1.450000000000000000e+02,nan
1.977400000000000000e+04,1.230000000000000000e+02,nan
2.001000000000000000e+04,2.360000000000000000e+02,nan
2.018400000000000000e+04,1.740000000000000000e+02,nan
2.039700000000000000e+04,2.130000000000000000e+02,nan
2.089700000000000000e+04,5.000000000000000000e+02,nan
2.097800000000000000e+04,8.100000000000000000e+01,nan
2.121300000000000000e+04,2.350000000000000000e+02,nan
2.144500000000000000e+04,2.320000000000000000e+02,nan
2.157500000000000000e+04,1.300000000000000000e+02,nan
2.177900000000000000e+04,2.040000000000000000e+02,nan
2.227900000000000000e+04,5.000000000000000000e+02,nan
2.258800000000000000e+04,3.090000000000000000e+02,nan
2.272200000000000000e+04,1.340000000000000000e+02,nan
2.297000000000000000e+04,2.480000000000000000e+02,nan
2.334000000000000000e+04,3.700000000000000000e+02,nan
2.361100000000000000e+04,2.710000000000000000e+02,nan
2.387200000000000000e+04,2.610000000000000000e+02,nan
2.437200000000000000e+04,5.000000000000000000e+02,nan
2.466600000000000000e+04,2.940000000000000000e+02,nan
2.515200000000000000e+04,4.860000000000000000e+02,nan
2.565200000000000000e+04,5.000000000000000000e+02,nan
2.591100000000000000e+04,2.590000000000000000e+02,nan
2.611700000000000000e+04,2.060000000000000000e+02,nan
2.661700000000000000e+04,5.000000000000000000e+02,nan
2.687100000000000000e+04,2.540000000000000000e+02,nan
2.696400000000000000e+04,9.300000000000000000e+01,nan
2.733400000000000000e+04,3.700000000000000000e+02,nan
2.742400000000000000e+04,9.000000000000000000e+01,nan
2.779900000000000000e+04,3.750000000000000000e+02,nan
2.801500000000000000e+04,2.160000000000000000e+02,nan
2.818700000000000000e+04,1.720000000000000000e+02,nan
2.834400000000000000e+04,1.570000000000000000e+02,nan
2.884400000000000000e+04,5.000000000000000000e+02,nan
2.908800000000000000e+04,2.440000000000000000e+02,nan
2.939100000000000000e+04,3.030000000000000000e+02,nan
2.951300000000000000e+04,1.220000000000000000e+02,nan
3.001300000000000000e+04,5.000000000000000000e+02,nan
