timestep,reward,epsilon
1.933000000000000000e+03,1.000000000000000000e+01,8.067999999999999616e-01
1.950000000000000000e+03,1.700000000000000000e+01,8.051000000000001489e-01
1.960000000000000000e+03,1.000000000000000000e+01,8.041000000000002590e-01
1.977000000000000000e+03,1.700000000000000000e+01,8.023999999999997801e-01
2.004000000000000000e+03,2.700000000000000000e+01,7.997000000000000774e-01
2.016000000000000000e+03,1.200000000000000000e+01,7.985000000000002096e-01
2.050000000000000000e+03,3.400000000000000000e+01,7.950999999999999179e-01
2.091000000000000000e+03,4.100000000000000000e+01,7.909999999999997033e-01
2.137000000000000000e+03,4.600000000000000000e+01,7.864000000000002100e-01
2.149000000000000000e+03,1.200000000000000000e+01,7.851999999999996760e-01
2.165000000000000000e+03,1.600000000000000000e+01,7.835999999999998522e-01
2.174000000000000000e+03,9.000000000000000000e+00,7.826999999999999513e-01
2.193000000000000000e+03,1.900000000000000000e+01,7.808000000000001606e-01
2.212000000000000000e+03,1.900000000000000000e+01,7.788999999999997037e-01
2.234000000000000000e+03,2.200000000000000000e+01,7.766999999999999460e-01
2.257000000000000000e+03,2.300000000000000000e+01,7.744000000000001993e-01
2.270000000000000000e+03,1.300000000000000000e+01,7.731000000000003425e-01
2.284000000000000000e+03,1.400000000000000000e+01,7.716999999999998305e-01
2.304000000000000000e+03,2.000000000000000000e+01,7.697000000000000508e-01
2.334000000000000000e+03,3.000000000000000000e+01,7.666999999999997151e-01
2.343000000000000000e+03,9.000000000000000000e+00,7.657999999999998142e-01
2.385000000000000000e+03,4.200000000000000000e+01,7.616000000000002768e-01
2.417000000000000000e+03,3.200000000000000000e+01,7.583999999999999631e-01
2.450000000000000000e+03,3.300000000000000000e+01,7.550999999999996604e-01
2.505000000000000000e+03,5.500000000000000000e+01,7.496000000000002661e-01
2.527000000000000000e+03,2.200000000000000000e+01,7.473999999999998423e-01
2.553000000000000000e+03,2.600000000000000000e+01,7.448000000000001286e-01
2.580000000000000000e+03,2.700000000000000000e+01,7.420999999999997598e-01
2.594000000000000000e+03,1.400000000000000000e+01,7.406999999999999140e-01
2.626000000000000000e+03,3.200000000000000000e+01,7.375000000000002665e-01
2.695000000000000000e+03,6.900000000000000000e+01,7.305999999999996941e-01
2.724000000000000000e+03,2.900000000000000000e+01,7.277000000000000135e-01
2.746000000000000000e+03,2.200000000000000000e+01,7.255000000000002558e-01
2.764000000000000000e+03,1.800000000000000000e+01,7.236999999999997879e-01
2.784000000000000000e+03,2.000000000000000000e+01,7.217000000000000082e-01
2.826000000000000000e+03,4.200000000000000000e+01,7.174999999999998046e-01
2.853000000000000000e+03,2.700000000000000000e+01,7.148000000000001020e-01
2.916000000000000000e+03,6.300000000000000000e+01,7.085000000000001297e-01
2.988000000000000000e+03,7.200000000000000000e+01,7.013000000000002565e-01
3.004000000000000000e+03,1.600000000000000000e+01,6.996999999999997666e-01
3.019000000000000000e+03,1.500000000000000000e+01,6.981999999999999318e-01
3.032000000000000000e+03,1.300000000000000000e+01,6.969000000000000750e-01
3.063000000000000000e+03,3.100000000000000000e+01,6.937999999999997502e-01
3.126000000000000000e+03,6.300000000000000000e+01,6.874999999999997780e-01
3.155000000000000000e+03,2.900000000000000000e+01,6.846000000000000973e-01
3.208000000000000000e+03,5.300000000000000000e+01,6.793000000000000149e-01
3.237000000000000000e+03,2.900000000000000000e+01,6.763999999999996682e-01
3.297000000000000000e+03,6.000000000000000000e+01,6.704000000000003290e-01
3.342000000000000000e+03,4.500000000000000000e+01,6.659000000000001585e-01
3.363000000000000000e+03,2.100000000000000000e+01,6.637999999999997236e-01
3.434000000000000000e+03,7.100000000000000000e+01,6.566999999999998394e-01
3.449000000000000000e+03,1.500000000000000000e+01,6.552000000000000046e-01
3.474000000000000000e+03,2.500000000000000000e+01,6.527000000000002800e-01
3.506000000000000000e+03,3.200000000000000000e+01,6.494999999999999662e-01
3.565000000000000000e+03,5.900000000000000000e+01,6.435999999999999499e-01
3.596000000000000000e+03,3.100000000000000000e+01,6.405000000000002913e-01
3.615000000000000000e+03,1.900000000000000000e+01,6.385999999999998344e-01
3.633000000000000000e+03,1.800000000000000000e+01,6.368000000000000327e-01
3.683000000000000000e+03,5.000000000000000000e+01,6.317999999999999172e-01
3.712000000000000000e+03,2.900000000000000000e+01,6.289000000000002366e-01
3.743000000000000000e+03,3.100000000000000000e+01,6.257999999999999119e-01
3.812000000000000000e+03,6.900000000000000000e+01,6.189000000000000057e-01
3.904000000000000000e+03,9.200000000000000000e+01,6.096999999999996867e-01
3.918000000000000000e+03,1.400000000000000000e+01,6.082999999999998408e-01
3.946000000000000000e+03,2.800000000000000000e+01,6.055000000000001492e-01
3.997000000000000000e+03,5.100000000000000000e+01,6.004000000000000448e-01
4.020000000000000000e+03,2.300000000000000000e+01,5.980999999999996319e-01
4.039000000000000000e+03,1.900000000000000000e+01,5.961999999999998412e-01
4.058000000000000000e+03,1.900000000000000000e+01,5.943000000000000504e-01
4.108000000000000000e+03,5.000000000000000000e+01,5.892999999999999350e-01
4.119000000000000000e+03,1.100000000000000000e+01,5.882000000000000561e-01
4.153000000000000000e+03,3.400000000000000000e+01,5.847999999999997645e-01
4.168000000000000000e+03,1.500000000000000000e+01,5.832999999999999297e-01
4.264000000000000000e+03,9.600000000000000000e+01,5.736999999999996547e-01
4.300000000000000000e+03,3.600000000000000000e+01,5.701000000000000512e-01
4.433000000000000000e+03,1.330000000000000000e+02,5.568000000000001837e-01
4.460000000000000000e+03,2.700000000000000000e+01,5.540999999999998149e-01
4.500000000000000000e+03,4.000000000000000000e+01,5.501000000000002554e-01
4.547000000000000000e+03,4.700000000000000000e+01,5.454000000000001069e-01
4.610000000000000000e+03,6.300000000000000000e+01,5.391000000000001346e-01
4.664000000000000000e+03,5.400000000000000000e+01,5.337000000000000632e-01
4.709000000000000000e+03,4.500000000000000000e+01,5.291999999999998927e-01
4.783000000000000000e+03,7.400000000000000000e+01,5.218000000000000416e-01
4.821000000000000000e+03,3.800000000000000000e+01,5.179999999999997939e-01
4.846000000000000000e+03,2.500000000000000000e+01,5.155000000000000693e-01
4.872000000000000000e+03,2.600000000000000000e+01,5.128999999999996895e-01
4.904000000000000000e+03,3.200000000000000000e+01,5.097000000000000419e-01
4.923000000000000000e+03,1.900000000000000000e+01,5.078000000000002512e-01
4.943000000000000000e+03,2.000000000000000000e+01,5.057999999999998053e-01
4.963000000000000000e+03,2.000000000000000000e+01,5.038000000000000256e-01
5.007000000000000000e+03,4.400000000000000000e+01,4.993999999999998440e-01
5.023000000000000000e+03,1.600000000000000000e+01,4.978000000000000203e-01
5.043000000000000000e+03,2.000000000000000000e+01,4.958000000000003515e-01
5.059000000000000000e+03,1.600000000000000000e+01,4.941999999999997506e-01
5.074000000000000000e+03,1.500000000000000000e+01,4.927000000000000268e-01
5.089000000000000000e+03,1.500000000000000000e+01,4.912000000000000810e-01
5.104000000000000000e+03,1.500000000000000000e+01,4.897000000000002462e-01
5.198000000000000000e+03,9.400000000000000000e+01,4.802999999999999492e-01
5.208000000000000000e+03,1.000000000000000000e+01,4.793000000000001704e-01
5.271000000000000000e+03,6.300000000000000000e+01,4.730000000000001981e-01
5.287000000000000000e+03,1.600000000000000000e+01,4.714000000000002633e-01
5.303000000000000000e+03,1.600000000000000000e+01,4.697999999999997733e-01
5.319000000000000000e+03,1.600000000000000000e+01,4.681999999999999496e-01
5.353000000000000000e+03,3.400000000000000000e+01,4.648000000000003240e-01
5.382000000000000000e+03,2.900000000000000000e+01,4.618999999999999773e-01
5.394000000000000000e+03,1.200000000000000000e+01,4.607000000000001094e-01
5.415000000000000000e+03,2.100000000000000000e+01,4.585999999999996746e-01
5.434000000000000000e+03,1.900000000000000000e+01,4.566999999999998838e-01
5.550000000000000000e+03,1.160000000000000000e+02,4.450999999999998291e-01
5.567000000000000000e+03,1.700000000000000000e+01,4.434000000000000163e-01
5.579000000000000000e+03,1.200000000000000000e+01,4.422000000000002595e-01
5.663000000000000000e+03,8.400000000000000000e+01,4.337999999999998524e-01
5.678000000000000000e+03,1.500000000000000000e+01,4.322999999999999066e-01
5.695000000000000000e+03,1.700000000000000000e+01,4.306000000000002048e-01
5.773000000000000000e+03,7.800000000000000000e+01,4.228000000000002867e-01
5.785000000000000000e+03,1.200000000000000000e+01,4.215999999999997527e-01
5.804000000000000000e+03,1.900000000000000000e+01,4.196999999999999620e-01
5.829000000000000000e+03,2.500000000000000000e+01,4.172000000000002373e-01
5.926000000000000000e+03,9.700000000000000000e+01,4.075000000000000844e-01
5.940000000000000000e+03,1.400000000000000000e+01,4.061000000000002386e-01
5.956000000000000000e+03,1.600000000000000000e+01,4.044999999999996376e-01
5.988000000000000000e+03,3.200000000000000000e+01,4.012999999999999901e-01
6.104000000000000000e+03,1.160000000000000000e+02,3.896999999999999353e-01
6.122000000000000000e+03,1.800000000000000000e+01,3.879000000000001336e-01
6.132000000000000000e+03,1.000000000000000000e+01,3.869000000000002437e-01
6.189000000000000000e+03,5.700000000000000000e+01,3.812000000000003164e-01
6.236000000000000000e+03,4.700000000000000000e+01,3.765000000000000568e-01
6.247000000000000000e+03,1.100000000000000000e+01,3.754000000000001780e-01
6.298000000000000000e+03,5.100000000000000000e+01,3.703000000000001846e-01
6.320000000000000000e+03,2.200000000000000000e+01,3.680999999999996497e-01
6.334000000000000000e+03,1.400000000000000000e+01,3.666999999999998039e-01
6.362000000000000000e+03,2.800000000000000000e+01,3.639000000000001123e-01
6.379000000000000000e+03,1.700000000000000000e+01,3.621999999999996334e-01
6.623000000000000000e+03,2.440000000000000000e+02,3.377999999999997671e-01
6.634000000000000000e+03,1.100000000000000000e+01,3.366999999999998883e-01
6.712000000000000000e+03,7.800000000000000000e+01,3.288999999999999702e-01
6.722000000000000000e+03,1.000000000000000000e+01,3.279000000000001913e-01
6.736000000000000000e+03,1.400000000000000000e+01,3.265000000000003455e-01
6.750000000000000000e+03,1.400000000000000000e+01,3.250999999999997225e-01
6.777000000000000000e+03,2.700000000000000000e+01,3.224000000000000199e-01
6.798000000000000000e+03,2.100000000000000000e+01,3.203000000000002512e-01
6.810000000000000000e+03,1.200000000000000000e+01,3.190999999999997172e-01
6.839000000000000000e+03,2.900000000000000000e+01,3.162000000000000366e-01
6.856000000000000000e+03,1.700000000000000000e+01,3.145000000000002238e-01
6.867000000000000000e+03,1.100000000000000000e+01,3.133999999999996788e-01
6.946000000000000000e+03,7.900000000000000000e+01,3.054999999999999938e-01
6.956000000000000000e+03,1.000000000000000000e+01,3.044999999999999929e-01
6.989000000000000000e+03,3.300000000000000000e+01,3.011999999999996902e-01
7.006000000000000000e+03,1.700000000000000000e+01,2.994999999999999885e-01
7.024000000000000000e+03,1.800000000000000000e+01,2.977000000000000757e-01
7.043000000000000000e+03,1.900000000000000000e+01,2.958000000000002849e-01
7.056000000000000000e+03,1.300000000000000000e+01,2.944999999999997620e-01
7.071000000000000000e+03,1.500000000000000000e+01,2.929999999999999272e-01
7.082000000000000000e+03,1.100000000000000000e+01,2.919000000000000483e-01
7.098000000000000000e+03,1.600000000000000000e+01,2.903000000000002245e-01
7.135000000000000000e+03,3.700000000000000000e+01,2.866000000000000769e-01
7.148000000000000000e+03,1.300000000000000000e+01,2.853000000000001091e-01
7.164000000000000000e+03,1.600000000000000000e+01,2.837000000000003963e-01
7.248000000000000000e+03,8.400000000000000000e+01,2.752999999999998781e-01
7.328000000000000000e+03,8.000000000000000000e+01,2.673000000000002041e-01
7.423000000000000000e+03,9.500000000000000000e+01,2.577999999999999181e-01
7.439000000000000000e+03,1.600000000000000000e+01,2.561999999999999833e-01
7.457000000000000000e+03,1.800000000000000000e+01,2.544000000000001815e-01
7.492000000000000000e+03,3.500000000000000000e+01,2.508999999999999009e-01
7.515000000000000000e+03,2.300000000000000000e+01,2.486000000000001542e-01
7.554000000000000000e+03,3.900000000000000000e+01,2.446999999999999176e-01
7.573000000000000000e+03,1.900000000000000000e+01,2.428000000000001268e-01
7.611000000000000000e+03,3.800000000000000000e+01,2.389999999999998792e-01
7.644000000000000000e+03,3.300000000000000000e+01,2.357000000000003537e-01
7.662000000000000000e+03,1.800000000000000000e+01,2.338999999999997748e-01
7.765000000000000000e+03,1.030000000000000000e+02,2.236000000000002430e-01
7.781000000000000000e+03,1.600000000000000000e+01,2.219999999999997531e-01
7.883000000000000000e+03,1.020000000000000000e+02,2.118000000000002103e-01
7.990000000000000000e+03,1.070000000000000000e+02,2.011000000000000565e-01
8.091000000000000000e+03,1.010000000000000000e+02,1.909999999999998366e-01
8.135000000000000000e+03,4.400000000000000000e+01,1.866000000000003212e-01
8.246000000000000000e+03,1.110000000000000000e+02,1.755000000000003224e-01
8.290000000000000000e+03,4.400000000000000000e+01,1.711000000000000298e-01
8.397000000000000000e+03,1.070000000000000000e+02,1.603999999999999870e-01
8.419000000000000000e+03,2.200000000000000000e+01,1.582000000000002293e-01
8.438000000000000000e+03,1.900000000000000000e+01,1.563000000000003276e-01
8.547000000000000000e+03,1.090000000000000000e+02,1.454000000000001958e-01
8.653000000000000000e+03,1.060000000000000000e+02,1.348000000000000309e-01
8.765000000000000000e+03,1.120000000000000000e+02,1.235999999999999321e-01
8.877000000000000000e+03,1.120000000000000000e+02,1.123999999999998334e-01
8.909000000000000000e+03,3.200000000000000000e+01,1.092000000000002968e-01
9.027000000000000000e+03,1.180000000000000000e+02,9.740000000000026414e-02
9.165000000000000000e+03,1.380000000000000000e+02,8.359999999999967457e-02
9.178000000000000000e+03,1.300000000000000000e+01,8.229999999999992877e-02
9.263000000000000000e+03,8.500000000000000000e+01,7.380000000000008775e-02
9.342000000000000000e+03,7.900000000000000000e+01,6.589999999999962554e-02
9.415000000000000000e+03,7.300000000000000000e+01,5.859999999999976339e-02
9.426000000000000000e+03,1.100000000000000000e+01,5.749999999999988454e-02
9.438000000000000000e+03,1.200000000000000000e+01,5.630000000000012772e-02
9.449000000000000000e+03,1.100000000000000000e+01,5.520000000000024887e-02
9.463000000000000000e+03,1.400000000000000000e+01,5.380000000000040306e-02
9.484000000000000000e+03,2.100000000000000000e+01,5.169999999999985718e-02
9.617000000000000000e+03,1.330000000000000000e+02,4.000000000000000083e-02
9.778000000000000000e+03,1.610000000000000000e+02,4.000000000000000083e-02
9.948000000000000000e+03,1.700000000000000000e+02,4.000000000000000083e-02
9.961000000000000000e+03,1.300000000000000000e+01,4.000000000000000083e-02
1.012000000000000000e+04,1.590000000000000000e+02,4.000000000000000083e-02
1.028800000000000000e+04,1.680000000000000000e+02,4.000000000000000083e-02
1.073000000000000000e+04,4.420000000000000000e+02,4.000000000000000083e-02
1.083600000000000000e+04,1.060000000000000000e+02,4.000000000000000083e-02
1.094500000000000000e+04,1.090000000000000000e+02,4.000000000000000083e-02
1.106100000000000000e+04,1.160000000000000000e+02,4.000000000000000083e-02
1.115700000000000000e+04,9.600000000000000000e+01,4.000000000000000083e-02
1.124900000000000000e+04,9.200000000000000000e+01,4.000000000000000083e-02
1.136600000000000000e+04,1.170000000000000000e+02,4.000000000000000083e-02
1.148900000000000000e+04,1.230000000000000000e+02,4.000000000000000083e-02
1.165300000000000000e+04,1.640000000000000000e+02,4.000000000000000083e-02
1.182200000000000000e+04,1.690000000000000000e+02,4.000000000000000083e-02
1.192300000000000000e+04,1.010000000000000000e+02,4.000000000000000083e-02
1.197800000000000000e+04,5.500000000000000000e+01,4.000000000000000083e-02
1.209100000000000000e+04,1.130000000000000000e+02,4.000000000000000083e-02
1.220500000000000000e+04,1.140000000000000000e+02,4.000000000000000083e-02
1.231600000000000000e+04,1.110000000000000000e+02,4.000000000000000083e-02
1.244000000000000000e+04,1.240000000000000000e+02,4.000000000000000083e-02
1.249500000000000000e+04,5.500000000000000000e+01,4.000000000000000083e-02
1.260900000000000000e+04,1.140000000000000000e+02,4.000000000000000083e-02
1.271100000000000000e+04,1.020000000000000000e+02,4.000000000000000083e-02
1.281200000000000000e+04,1.010000000000000000e+02,4.000000000000000083e-02
1.292400000000000000e+04,1.120000000000000000e+02,4.000000000000000083e-02
1.304000000000000000e+04,1.160000000000000000e+02,4.000000000000000083e-02
1.309500000000000000e+04,5.500000000000000000e+01,4.000000000000000083e-02
1.311000000000000000e+04,1.500000000000000000e+01,4.000000000000000083e-02
1.320100000000000000e+04,9.100000000000000000e+01,4.000000000000000083e-02
